Name,|V|,|E|,|T|,DCO,Opt,,LB,Res,Time,"O(|A|*min{|A|,|T||V|}"
b01.stp,50,63,9,Ls,82,,82,82,0.0018,3969
b13.stp,100,125,17,Ps,165,,163,180,0.0055,15625
b14.stp,100,125,25,Ps,235,,214,248,0.0103,15625
b15.stp,100,125,50,Ps,318,,296,339,0.0092,15625
b11.stp,75,150,19,Ls,88,,87,107,0.0077,22500
b12.stp,75,150,38,Ls,174,,163,195,0.0088,22500
b16.stp,100,200,17,Ps,127,,127,133,0.0092,40000
b17.stp,100,200,25,Ps,131,,122,158,0.0098,40000
b18.stp,100,200,50,Ps,218,,216,226,0.0095,40000
alue2087.stp,1244,1971,34,Ps,1049,,954,1505,2.99,3884841
alue6179.stp,3372,5213,67,NPs,2452,,2325,3097,3.49,27175369
i640-145.stp,640,40896,25,NPm,5218,,5136,5602,30.97,654336000
i640-022.stp,640,204479,9,Pm,1756,,1756,1756,181.11,1177799040
alue7080.stp,34479,55494,2344,NPm,62449,,17187,111103,18432,3079584036
